,coarse,mid
CoronaryCapillaryEndothelialCells,Endothelium,BloodVesselEndothelialCells
InnateLymphoidCells,Leukocytes,LymphoidCells
BCells,Leukocytes,LymphoidCells
Megakaryocytes,Leukocytes,MyeloidCells
MastCells,Leukocytes,MyeloidCells
TCellsCD4pos,Leukocytes,LymphoidCells
VentricularCardiomyocytesRightCompact,Cardiomyocytes,VentricularCardiomyocytes
MacrophagesLYVE1pos,Leukocytes,MyeloidCells
ProBCells,Leukocytes,LymphoidCells
BCellsMS4A1pos,Leukocytes,LymphoidCells
VentricularCardiomyocytesCycling,Cardiomyocytes,VentricularCardiomyocytes
Monocytes,Leukocytes,MyeloidCells
DendriticCellsType1,Leukocytes,MyeloidCells
CoronaryVesselAdventitialFibroblasts,Mesenchymal,Fibroblasts
VentricularCardiomyocytesLeftCompact,Cardiomyocytes,VentricularCardiomyocytes
GreatVesselAdventitialFibroblasts,Mesenchymal,Fibroblasts
TregsCD4pos,Leukocytes,LymphoidCells
VentricularCardiomyocytesLeftTrabeculated,Cardiomyocytes,VentricularCardiomyocytes
NaturalKillerCells,Leukocytes,LymphoidCells
MacrophagesTIMD4pos,Leukocytes,MyeloidCells
PlasmacytoidDendriticCells,Leukocytes,MyeloidCells
TCellsCD8pos,Leukocytes,LymphoidCells
MyocardialInterstitialFibroblasts2,Mesenchymal,Fibroblasts
MacrophagesATF3pos,Leukocytes,MyeloidCells
MyocardialInterstitialFibroblasts1,Mesenchymal,Fibroblasts
MacrophagesCX3CR1pos,Leukocytes,MyeloidCells
Myofibroblasts,Mesenchymal,Fibroblasts
AtrialCardiomyocytesLeft,Cardiomyocytes,AtrialCardiomyocytes
PericardialCells1,Mesenchymal,PericardialCells
AtrialCardiomyocytesRight,Cardiomyocytes,AtrialCardiomyocytes
VentricularConductionSystemDistal,Cardiomyocytes,CardiacConductionSystem
ValveInterstitialCells,Mesenchymal,Fibroblasts
VentricularCardiomyocytesRightTrabeculated,Cardiomyocytes,VentricularCardiomyocytes
VentricularConductionSystemProximal,Cardiomyocytes,CardiacConductionSystem
MonocyteDerivedCells,Leukocytes,MyeloidCells
CoronaryPericytes,Mesenchymal,MuralCells
AtrialCardiomyocytesCycling,Cardiomyocytes,AtrialCardiomyocytes
AtrioventricularNodeCardiomyocytes,Cardiomyocytes,CardiacConductionSystem
LymphaticEndothelialCells,Endothelium,LymphaticEndothelialCells
CoronarySmoothMuscleCells,Mesenchymal,MuralCells
SinoatrialNodeCardiomyocytes,Cardiomyocytes,CardiacConductionSystem
EpicardiumDerivedCells,Epicardium,EpicardialCells
EndocardialCells,Endothelium,EndocardialCells
ChromaffinCells,Neural,Neurons
ValveEndothelialCells,Endothelium,EndocardialCells
GreatVesselVenousEndothelialCells,Endothelium,BloodVesselEndothelialCells
EndocardialCushionCells,Endothelium,EndocardialCells
SchwannCells,Neural,Glia
SympatheticNeurons,Neural,Neurons
PericardialCells2,Mesenchymal,PericardialCells
CoronaryVenousEndothelialCells,Endothelium,BloodVesselEndothelialCells
GreatVesselSmoothMuscleCells,Mesenchymal,MuralCells
SchwannCellPrecursors,Neural,Glia
NeuronPrecursors,Neural,Neurons
LymphNodeFibroblasticReticularCells,Mesenchymal,Fibroblasts
ParaympatheticNeurons,Neural,Neurons
MonocytesMPOpos,Leukocytes,MyeloidCells
MesothelialEpicardialCells,Epicardium,EpicardialCells
GreatVesselArterialEndothelialCells,Endothelium,BloodVesselEndothelialCells
DuctusArteriosusSmoothMuscleCells,Mesenchymal,MuralCells
CoronaryArterialEndothelialCells,Endothelium,BloodVesselEndothelialCells
PericardialCells3,Mesenchymal,PericardialCells
DendriticCellsMature,Leukocytes,MyeloidCells
